Доп. объявление группы;Тип объявления;ID группы;Название группы;Номер группы;Тип кампании;Валюта;ID фразы;Фраза (с минус-словами);ID объявления;Заголовок 1;Заголовок 2;Текст;Заголовок 1;Заголовок 2;Заголовок 3;Заголовок 4;Заголовок 5;Заголовок 6;Заголовок 7;Текст 1;Текст 2;Текст 3;Изображение 1;Изображение 2;Изображение 3;Изображение 4;Изображение 5;Вертикальное видео 1;Вертикальное видео 2;Квадратное видео 1;Квадратное видео 2;Горизонтальное видео 1;Горизонтальное видео 2;Статус модерации ассетов;Ссылка;Отображаемая ссылка;Регион;Ставка;Ставка в сетях;Организация Яндекс Бизнеса;Статус объявления;Статус фразы;Заголовки быстрых ссылок;Описания быстрых ссылок;Адреса быстрых ссылок;Параметр 1;Параметр 2;Метки;Изображение;Креатив;Статус модерации креатива;Уточнения;Минус-фразы на группу;Возрастные ограничения
-;Текстово-графическое;;Продажа кондиционеров;1;Текстово-графическая кампания;RUB;;купить кондиционер владивосток -б/у -ремонт -запчасти;;Купить кондиционер во Владивостоке;С гарантией до 5 лет;ENERGOLUX, TOSOT, LESSAR, Kentatsu и другие бренды. Подберём под бюджет. Бесплатная консультация!;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#sale;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Официальный дилер;купить кондиционер недорого владивосток -б/у -ремонт -запчасти||сплит система владивосток купить -ремонт||кондиционер в квартиру владивосток -б/у||настоящий кондиционер tosot владивосток||кондиционер lessar владивосток купить||кондиционер energolux владивосток||кондиционер kentatsu владивосток цена||кондиционер midea владивосток купить||кондиционер daichi владивосток||кондиционер dahaci владивосток купить||купить сплит систему владивосток цена -ремонт -запчасти;
+;Текстово-графическое;;Продажа кондиционеров;1;Текстово-графическая кампания;RUB;;купить кондиционер недорого владивосток -б/у -ремонт -запчасти;;Купить кондиционер во Владивостоке;С гарантией до 5 лет;ENERGOLUX, TOSOT, LESSAR, Kentatsu и другие бренды. Подберём под бюджет. Бесплатная консультация!;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#sale;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Официальный дилер;
+;Текстово-графическое;;Продажа кондиционеров;1;Текстово-графическая кампания;RUB;;сплит система владивосток купить -ремонт;;Сплит-система во Владивостоке;Под ключ с гарантией;Подберём модель под площадь и задачи. Бытовые и коммерческие. Скидка при заказе монтажа!;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#sale;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Официальный дилер;
+;Текстово-графическое;;Продажа кондиционеров;1;Текстово-графическая кампания;RUB;;кондиционер в квартиру владивосток -б/у;;Кондиционер в квартиру;Владивосток, гарантия 5 лет;Инверторные сплит-системы от 7 брендов. Тихие, экономичные, с Wi-Fi. Запишитесь на расчёт!;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#sale;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Официальный дилер;
+;Текстово-графическое;;Продажа кондиционеров;1;Текстово-графическая кампания;RUB;; ---autotargeting;;Купить кондиционер во Владивостоке;С гарантией до 5 лет;ENERGOLUX, TOSOT, LESSAR, Kentatsu. Подберём под бюджет, бесплатная консультация эксперта!;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#sale;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Официальный дилер;
-;Текстово-графическое;;Установка кондиционеров;2;Текстово-графическая кампания;RUB;;установка кондиционера владивосток -своими руками -самостоятельно -видео;;Установка кондиционера;Владивосток, профессионально;Монтаж любой сложности. На стадии ремонта или в готовом помещении. Нержавеющие кронштейны, премиум-материалы.;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#install;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Премиум-материалы;установка кондиционера владивосток цена -своими руками -самостоятельно -видео||монтаж сплит системы владивосток -самостоятельно||установить кондиционер владивосток -своими руками||монтаж кондиционера владивосток отзывы -своими руками||установка сплит системы цена владивосток -своими руками;
+;Текстово-графическое;;Установка кондиционеров;2;Текстово-графическая кампания;RUB;;монтаж сплит системы владивосток -самостоятельно;;Монтаж сплит-системы;Владивосток, от эксперта;Команда мастеров под контролем Дмитрия Пичугина. Выезд замерщика бесплатно. Опыт с 2010 года!;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#install;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Премиум-материалы;
+;Текстово-графическое;;Установка кондиционеров;2;Текстово-графическая кампания;RUB;; ---autotargeting;;Установка кондиционера;Владивосток, профессионально;Монтаж любой сложности. Нержавеющие кронштейны, премиум-материалы. Выезд замерщика бесплатно!;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#install;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Премиум-материалы;
-;Текстово-графическое;;Чистка и обслуживание;3;Текстово-графическая кампания;RUB;;чистка кондиционера владивосток -самостоятельно -своими руками -видео;;Чистка кондиционера;Владивосток, от 3000 ₽;Глубокая мойка внутреннего и наружного блока. Удаляем грибок, слизь и налёт. Продлеваем срок службы.;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#maintenance;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||От 3000 ₽;обслуживание кондиционера владивосток -самостоятельно -своими руками||мойка кондиционера владивосток -самостоятельно||то кондиционера владивосток цена -самостоятельно||чистка сплит системы владивосток -самостоятельно||заправка кондиционера владивосток -самостоятельно||сезонное обслуживание кондиционера владивосток;
+;Текстово-графическое;;Чистка и обслуживание;3;Текстово-графическая кампания;RUB;;мойка кондиционера владивосток -самостоятельно;;Мойка кондиционера;Владивосток, профессионально;Глубокая чистка испарителя, вентилятора и дренажа. Спецоборудование и химия. Здоровый воздух в доме!;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#maintenance;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||От 3000 ₽;
+;Текстово-графическое;;Чистка и обслуживание;3;Текстово-графическая кампания;RUB;; ---autotargeting;;Чистка и обслуживание кондиционера;Владивосток;Глубокая мойка, проверка давления фреона. Весна и осень — лучшее время для ТО. Запишитесь!;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#maintenance;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||От 3000 ₽;
-;Текстово-графическое;;Бризеры и вентиляция;4;Текстово-графическая кампания;RUB;;бризер владивосток купить;;Бризер во Владивостоке;Свежий воздух без окон;Приточная вентиляция Tion и Ballu. Очистка 99.9% загрязнений, подогрев до -40°C. Продажа и монтаж.;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#brizers;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Продажа и монтаж;приточная вентиляция владивосток||бризер tion владивосток||бризер ballu владивосток||вентиляция в квартиру владивосток||приточный очиститель воздуха владивосток||свежий воздух в квартире владивосток;
+;Текстово-графическое;;Бризеры и вентиляция;4;Текстово-графическая кампания;RUB;;приточная вентиляция владивосток;;Приточная вентиляция;Владивосток, под ключ;Бризеры Tion и Ballu. Свежий воздух круглый год. Увлажнение, очистка, подогрев.;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#brizers;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Продажа и монтаж;
+;Текстово-графическое;;Бризеры и вентиляция;4;Текстово-графическая кампания;RUB;; ---autotargeting;;Бризер во Владивостоке;Свежий воздух без окон;Приточная вентиляция Tion и Ballu. Продажа и монтаж. Очистка 99.9% загрязнений!;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/#brizers;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Продажа и монтаж;
-;Текстово-графическое;;Общее климат;5;Текстово-графическая кампания;RUB;;кондиционеры владивосток -ремонт -запчасти -б/у;;Climate Hall — климат во Владивостоке;Продажа, монтаж, обслуживание;Кондиционеры, бризеры, увлажнители. 7 брендов. Гарантия до 5 лет. Эксперт с 2010 года.;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Официальный дилер;климатическая техника владивосток||кондиционер владивосток цена -б/у -ремонт||купить кондиционер +в владивостоке недорого||подобрать кондиционер владивосток||где купить кондиционер владивосток;
+;Текстово-графическое;;Общее климат;5;Текстово-графическая кампания;RUB;;климатическая техника владивосток;;Климатическая техника;Владивосток, от эксперта;Кондиционеры, бризеры, увлажнители. Полный цикл: подбор, монтаж, обслуживание.;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Официальный дилер;
+;Текстово-графическое;;Общее климат;5;Текстово-графическая кампания;RUB;; ---autotargeting;;Climate Hall — климат;Владивосток, с 2010 года;Продажа, монтаж и обслуживание кондиционеров. 7 брендов. Гарантия до 5 лет. Бесплатная консультация!;;;;;;;;;;;;;;;;;;;;;;;https://climatehall.ru/;;Владивосток;10;10;;;;;;;;;;;Продажа кондиционеров||Установка кондиционеров||Чистка и обслуживание||Наш блог;Официальный дилер, гарантия до 5 лет||Профессиональный монтаж любой сложности||Сезонное ТО, продление срока службы||Обзоры, советы, сравнения брендов;https://climatehall.ru/#sale||https://climatehall.ru/#install||https://climatehall.ru/#maintenance||https://climatehall.ru/#blog;;;;;;;;Гарантия до 5 лет||Бесплатная консультация||Опыт с 2010 года||Официальный дилер;
